"","Gene","chr","start","end","symbol","final.meta.pvalue.for.plot","scz.meta.pvalue","asd.meta.pvalue.for.plot","bp.ptv.pvalue"
"1","ENSG00000100888",14,21385194,21456126,"CHD8",1e-17,0.885,1e-17,NA
"2","ENSG00000136531",2,165194993,165392310,"SCN2A",1e-17,0.0232,1e-17,1
"3","ENSG00000197283",6,33419661,33453689,"SYNGAP1",1e-17,0.624,1e-17,1
"4","ENSG00000101126",20,50888916,50931437,"ADNP",1.63046459491460e-11,0.00149,2.10966786498443e-18,1
"5","ENSG00000114861",3,70954708,71583989,"FOXP1",0.000158964356686117,0.543,5.47845088178174e-16,NA
"6","ENSG00000143442",1,151402724,151459494,"POGZ",4.16209185399955e-05,0.278,4.04848234653701e-14,0.24144
"7","ENSG00000049618",6,156776020,157210779,"ARID1B",0.0100185080556683,0.883,1.11797540028224e-13,1
"8","ENSG00000110066",11,68154863,68213828,"KMT5B",0.000150318489483344,0.259,2.71384504697527e-13,0.49138
"9","ENSG00000157540",21,37365573,37526358,"DYRK1A",0.00048697970711359,0.498,4.57961351677077e-13,1
"10","ENSG00000157103",3,10992186,11039247,"SLC6A1",0.000632891227478155,0.504,1.18854527604756e-12,NA
"11","ENSG00000273079",12,13437942,13982002,"GRIN2B",1.0260042235462e-05,0.0901,1.38911229138059e-11,1
"12","ENSG00000171862",10,87863625,87971930,"PTEN",0.00096226110420974,0.454,3.90734259500637e-11,1
"13","ENSG00000251322",22,50674415,50733298,"SHANK3",6.60177716370557e-06,0.0217,1.38416001939706e-10,0.49138
"14","ENSG00000123066",12,115957905,116277693,"MED13L",0.00139561150996587,0.385,1.59593155009283e-09,NA
"15","ENSG00000146830",7,100679507,100694250,"GIGYF1",3.2621853623518e-09,1,3.2621853623518e-09,1
"16","ENSG00000173575",15,92900189,93027996,"CHD2",2.5042146130781e-06,0.0205,5.41798364086282e-09,0.11863
"17","ENSG00000167522",16,89267630,89490561,"ANKRD11",4.45425075038791e-06,0.0183,1.00449656391561e-08,1
"18","ENSG00000145362",4,112818032,113384221,"ANK2",9.87550316581308e-07,0.00647,1.58904789203572e-08,1
"19","ENSG00000116539",1,155335268,155563162,"ASH1L",1.17440912936617e-08,3.77e-05,2.39478873409627e-08,0.49138
"20","ENSG00000146872",17,62458658,62615481,"TLK2",5.16507436668724e-07,0.00345,3.41409630544663e-08,NA
"21","ENSG00000168036",3,41194741,41260096,"CTNNB1",0.19269983441039,0.957,5.18025601463337e-08,0.49138
"22","ENSG00000177030",11,644233,707118,"DEAF1",0.00430357007400457,0.433,9.41804514808086e-08,0.24144
"23","ENSG00000132510",17,7834217,7854796,"KDM6B",1.70858573634302e-08,2.57e-05,1.44157542270613e-07,0.49138
"24","ENSG00000171587",21,40010999,40847158,"DSCAM",2.52370767165924e-06,0.00607,2.00061883590706e-07,1
"25","ENSG00000168137",3,9397615,9479240,"SETD5",2.84817542452856e-07,1,2.84817542452856e-07,1
"26","ENSG00000184156",8,132120859,132481095,"KCNQ3",0.00348294752491235,0.347,3.80627910450245e-07,0.24144
"27","ENSG00000182934",11,126262938,126269144,"SRPRA",0.0654812208639104,0.714,4.81628259486374e-07,0.61863
"28","ENSG00000117139",1,202724495,202808487,"KDM5B",2.27386045428656e-05,0.0824,5.98732158944952e-07,0.011347
"29","ENSG00000095787",10,28532493,28623112,"WAC",7.33589953464491e-07,1,7.33589953464491e-07,1
"30","ENSG00000162105",11,70467854,71252577,"SHANK2",0.0174805999548126,0.537,1.0066049937126e-06,1
"31","ENSG00000179915",2,49918503,51225575,"NRXN1",1.82001411920716e-06,0.00194,1.28851617154512e-06,0.2502
"32","ENSG00000177565",3,177019340,177228000,"TBL1XR1",0.0220413575215685,0.557,1.72414339561046e-06,NA
"33","ENSG00000119772",2,25227855,25342590,"DNMT3A",0.0754464442608221,0.831,2.26690869080153e-06,0.24116
"34","ENSG00000186487",2,1789113,2331664,"MYT1L",0.0483496955830173,0.634,2.87567291471712e-06,0.49138
"35","ENSG00000119866",2,60450520,60554467,"BCL11A",0.00922504397800512,0.374,3.52487243937825e-06,NA
"36","ENSG00000198963",9,74497335,74693177,"RORB",0.0986930055099861,0.804,4.44010801499469e-06,NA
"37","ENSG00000108557",17,17681458,17811453,"RAI1",0.000191853789790206,0.0432,5.37791976051605e-06,1
"38","ENSG00000197102",14,101964573,102056443,"DYNC1H1",0.0065166724042612,0.142,6.41480170706796e-06,0.74992
"39","ENSG00000092964",8,26514031,26658178,"DPYSL2",0.000837343298003707,0.0973,7.83008056554154e-06,1
"40","ENSG00000042753",19,46838136,46850846,"AP2S1",0.00130864641283204,0.0754,9.61062662484044e-06,0.49138
"41","ENSG00000055609",7,152134922,152436644,"KMT2C",0.00268003032914131,0.148,1.13927512208341e-05,0.37533
"42","ENSG00000196092",9,36833269,37034268,"PAX5",0.0427840632902149,0.597,1.32784278240034e-05,NA
"43","ENSG00000150051",10,27672874,27746060,"MKX",0.0374984791049593,0.562,1.58007189906557e-05,NA
"44","ENSG00000166206",15,26543546,26939539,"GABRB3",0.135492232398451,0.817,1.83828583642289e-05,NA
"45","ENSG00000169375",15,75369379,75455842,"SIN3A",0.0011521182110236,0.0956,2.11272279776427e-05,NA
"46","ENSG00000204406",2,148021011,148516971,"MBD5",0.00242436459577473,0.144,2.4084347195469e-05,1
"47","ENSG00000166963",15,43510958,43531620,"MAP1A",0.00183726524416435,0.234,2.70853249720494e-05,0.061192
"48","ENSG00000136854",9,127579370,127696027,"STXBP1",0.0119887750746983,0.323,3.01177372950453e-05,1
"49","ENSG00000101489",18,37243040,37565827,"CELF4",0.0129674390612001,0.331,3.31991028265984e-05,1
"50","ENSG00000109118",17,28905250,28951771,"PHF12",0.00726242878668683,0.244,3.65787189383597e-05,1
"51","ENSG00000136535",2,161416297,161425870,"TBR1",0.0184966449082599,0.381,4.06157491559348e-05,NA
"52","ENSG00000112640",6,42984553,43012342,"PPP2R5D",0.206296708357479,0.867,4.47502153247858e-05,1
"53","ENSG00000101337",20,32109714,32167258,"TM9SF4",0.00945508722323047,0.267,4.93477189240971e-05,1
"54","ENSG00000135365",11,45929319,46121454,"PHF21A",0.00673233550162538,0.161,5.43068621850058e-05,0.49138
