"","Gene","chr","start","end","symbol","final.meta.pvalue.for.plot","scz.ptv.pvalue","asd.ptv.pvalue","bp.ptv.pvalue"
"1","ENSG00000100888",14,21385194,21456126,"CHD8",0.149577156721715,1,0.149577156721715,NA
"2","ENSG00000136531",2,165194993,165392310,"SCN2A",0.29379937562007,0.486960084461307,0.0578396942444061,1
"3","ENSG00000197283",6,33419661,33453689,"SYNGAP1",0.330317772878642,0.589292064949287,0.0223634467441294,1
"4","ENSG00000101126",20,50888916,50931437,"ADNP",0.00216817700366182,0.00664961749467622,0.0578396942444061,1
"5","ENSG00000114861",3,70954708,71583989,"FOXP1",0.428654102680588,0.428654102680588,1,NA
"6","ENSG00000143442",1,151402724,151459494,"POGZ",0.0748557868681209,0.34330575066639,0.0033421066322809,0.24144
"7","ENSG00000049618",6,156776020,157210779,"ARID1B",0.629934132183875,0.760410388524895,0.149577156721715,1
"8","ENSG00000110066",11,68154863,68213828,"KMT5B",0.451377072762688,0.486960084461307,0.386773407587887,0.49138
"9","ENSG00000157540",21,37365573,37526358,"DYRK1A",0.382875248311168,0.589292064949287,0.0578396942444061,1
"10","ENSG00000157103",3,10992186,11039247,"SLC6A1",0.386773407587887,1,0.386773407587887,NA
"11","ENSG00000273079",12,13437942,13982002,"GRIN2B",0.00884179515098056,0.0575001219277247,0.0033421066322809,1
"12","ENSG00000171862",10,87863625,87971930,"PTEN",0.6324949752931,0.6324949752931,1,1
"13","ENSG00000251322",22,50674415,50733298,"SHANK3",0.000553759047872382,0.000308109757356386,0.149577156721715,0.49138
"14","ENSG00000123066",12,115957905,116277693,"MED13L",0.199457102903677,0.199457102903677,1,NA
"15","ENSG00000146830",7,100679507,100694250,"GIGYF1",0.0156440569033704,1,0.0156440569033704,1
"16","ENSG00000173575",15,92900189,93027996,"CHD2",0.0298107632856684,0.103476981132632,0.149577156721715,0.11863
"17","ENSG00000167522",16,89267630,89490561,"ANKRD11",0.000942375616016746,0.00302065315254679,0.0578396942444061,1
"18","ENSG00000145362",4,112818032,113384221,"ANK2",0.000158986845237526,0.00211472459368013,0.00294978601770221,1
"19","ENSG00000116539",1,155335268,155563162,"ASH1L",0.000134756106999896,1.8488542319298e-05,0.386773407587887,0.49138
"20","ENSG00000146872",17,62458658,62615481,"TLK2",0.0019559864793981,0.00157878921359507,0.386773407587887,NA
"21","ENSG00000168036",3,41194741,41260096,"CTNNB1",0.267739811876096,1,0.149577156721715,0.49138
"22","ENSG00000177030",11,644233,707118,"DEAF1",0.257921135123574,0.468167549530981,0.163737426489375,0.24144
"23","ENSG00000132510",17,7834217,7854796,"KDM6B",0.00345891206544592,0.00122155275562525,0.386773407587887,0.49138
"24","ENSG00000171587",21,40010999,40847158,"DSCAM",0.00770443248999605,0.00689186590699651,0.386773407587887,1
"25","ENSG00000168137",3,9397615,9479240,"SETD5",0.0578396942444061,1,0.0578396942444061,1
"26","ENSG00000184156",8,132120859,132481095,"KCNQ3",0.530110208984814,0.66376875497242,1,0.24144
"27","ENSG00000182934",11,126262938,126269144,"SRPRA",0.360878323875065,1,0.149577156721715,0.61863
"28","ENSG00000117139",1,202724495,202808487,"KDM5B",0.00529112971374453,0.0437256241196026,0.318559974785803,0.011347
"29","ENSG00000095787",10,28532493,28623112,"WAC",1,1,1,1
"30","ENSG00000162105",11,70467854,71252577,"SHANK2",0.278135331065053,0.395394267510258,0.149577156721715,1
"31","ENSG00000179915",2,49918503,51225575,"NRXN1",0.00113290500015272,0.000889828354238852,0.386773407587887,0.2502
"32","ENSG00000177565",3,177019340,177228000,"TBL1XR1",0.386773407587887,1,0.386773407587887,NA
"33","ENSG00000119772",2,25227855,25342590,"DNMT3A",0.661624335393311,0.82196097024742,0.386773407587887,0.24116
"34","ENSG00000186487",2,1789113,2331664,"MYT1L",0.342956159979162,0.359132383351749,0.386773407587887,0.49138
"35","ENSG00000119866",2,60450520,60554467,"BCL11A",0.261606823710464,0.261606823710464,1,NA
"36","ENSG00000198963",9,74497335,74693177,"RORB",1,1,1,NA
"37","ENSG00000108557",17,17681458,17811453,"RAI1",0.00980461874151493,0.0269898192678957,0.0578396942444061,1
"38","ENSG00000197102",14,101964573,102056443,"DYNC1H1",0.0231517784730775,0.054115678045433,0.00129178158709931,0.74992
"39","ENSG00000092964",8,26514031,26658178,"DPYSL2",1,1,1,1
"40","ENSG00000042753",19,46838136,46850846,"AP2S1",0.148791587198894,0.199457102903677,0.149577156721715,0.49138
"41","ENSG00000055609",7,152134922,152436644,"KMT2C",0.467963376957751,0.563134906080179,0.386773407587887,0.37533
"42","ENSG00000196092",9,36833269,37034268,"PAX5",0.331882330711822,0.359132383351749,0.386773407587887,NA
"43","ENSG00000150051",10,27672874,27746060,"MKX",0.564355671091568,0.606510850488877,0.386773407587887,NA
"44","ENSG00000166206",15,26543546,26939539,"GABRB3",0.386773407587887,1,0.386773407587887,NA
"45","ENSG00000169375",15,75369379,75455842,"SIN3A",0.242818880508839,0.261606823710464,0.386773407587887,NA
"46","ENSG00000204406",2,148021011,148516971,"MBD5",0.168699839696282,0.179964142997368,0.386773407587887,1
"47","ENSG00000166963",15,43510958,43531620,"MAP1A",0.00313047161380442,0.0813411841523122,0.00129178158709931,0.061192
"48","ENSG00000136854",9,127579370,127696027,"STXBP1",0.359132383351749,0.359132383351749,1,1
"49","ENSG00000101489",18,37243040,37565827,"CELF4",0.359132383351749,0.359132383351749,1,1
"50","ENSG00000109118",17,28905250,28951771,"PHF12",0.242818880508839,0.261606823710464,0.386773407587887,1
"51","ENSG00000136535",2,161416297,161425870,"TBR1",0.207904695164978,0.179964142997368,0.56362363483341,NA
"52","ENSG00000112640",6,42984553,43012342,"PPP2R5D",0.589292064949287,0.589292064949287,1,1
"53","ENSG00000101337",20,32109714,32167258,"TM9SF4",0.110711515609008,0.273253284830988,0.0223634467441294,1
"54","ENSG00000135365",11,45929319,46121454,"PHF21A",0.220943146449819,0.199457102903677,1,0.49138
"55","ENSG00000126464",19,49591182,49626439,"PRR12",0.0990504210099784,0.103476981132632,0.386773407587887,1
"56","ENSG00000157933",1,2228319,2310213,"SKI",0.698000451129502,0.698000451129502,1,1
"57","ENSG00000141431",18,33578219,33751195,"ASXL3",0.640762068070566,0.731441061909713,0.0772341667132225,0.72685
"58","ENSG00000021574",2,32063556,32157637,"SPAST",0.055778822042778,0.055778822042778,1,1
"59","ENSG00000139613",12,56162359,56189567,"SMARCC2",0.162082678453637,0.246462814819187,0.149577156721715,1
"60","ENSG00000153827",2,229763837,229923239,"TRIP12",0.230101525562953,1,0.386773407587887,0.24144
"61","ENSG00000005339",16,3725054,3880713,"CREBBP",0.643209706352675,1,0.643209706352675,1
"62","ENSG00000196628",18,55222185,55664787,"TCF4",1,1,1,1
"63","ENSG00000198216",1,181317690,181808084,"CACNA1E",0.0767605895448603,0.0433218549422506,0.305642416490482,0.68228
"64","ENSG00000127955",7,79768028,80226181,"GNAI1",0.359132383351749,0.359132383351749,1,1
"65","ENSG00000100207",22,42160013,42343616,"TCF20",0.555038303402793,0.606510850488877,0.386773407587887,0.49138
"66","ENSG00000128573",7,114086327,114693772,"FOXP2",0.0272989692882177,0.0167912740568386,0.386773407587887,0.49138
"67","ENSG00000165671",5,177133025,177300213,"NSD1",0.491657100902828,0.698000451129502,0.0578396942444061,1
"68","ENSG00000148737",10,112950247,113167678,"TCF7L2",0.525607498267655,1,0.525607498267655,1
"69","ENSG00000198728",10,102106489,102120368,"LDB1",1,1,1,1
"70","ENSG00000130811",19,10115014,10119918,"EIF3G",0.459421830284028,0.589292064949287,1,0.24144
"71","ENSG00000197724",9,93576584,93679587,"PHF2",0.24144,1,1,0.24144
"72","ENSG00000170871",4,6781375,6884170,"KIAA0232",0.0433218549422506,0.0433218549422506,1,1
"73","ENSG00000136451",17,57971547,57988259,"VEZF1",0.13239759531674,0.261606823710464,0.0578396942444061,NA
"74","ENSG00000131095",17,44903159,44916937,"GFAP",0.710405328198103,0.781786636713669,0.288411247401483,1
"75","ENSG00000119669",14,77024543,77028708,"IRF2BPL",1,1,1,1
"76","ENSG00000101040",20,47209214,47356889,"ZMYND8",1,1,1,1
"77","ENSG00000182568",3,18345377,18445588,"SATB1",8.84917866436765e-05,0.000308109757356386,0.0578396942444061,1
"78","ENSG00000080298",9,3218297,3526004,"RFX3",0.173291506602981,0.261606823710464,0.149577156721715,1
"79","ENSG00000144285",2,165984641,166149214,"SCN1A",0.580589934432736,0.589292064949287,1,0.50013
"80","ENSG00000011485",19,46347087,46392981,"PPP5C",0.24144,1,1,0.24144
"81","ENSG00000113595",5,65589690,65625975,"TRIM23",0.289924526814229,1,0.305642416490482,0.37533
"82","ENSG00000131653",16,2155698,2178129,"TRAF7",0.311662498028852,0.437431811994595,1,0.21091
"83","ENSG00000196361",19,11451326,11481046,"ELAVL3",0.261606823710464,0.261606823710464,1,NA
"84","ENSG00000120251",4,157204182,157366075,"GRIA2",0.331882330711822,0.359132383351749,0.386773407587887,NA
"85","ENSG00000148948",11,40114203,41459773,"LRRC4C",0.317364157754067,0.34330575066639,0.386773407587887,1
"86","ENSG00000157445",3,54122547,55074557,"CACNA2D3",0.371615559201025,0.421080645814689,1,0.36658
"87","ENSG00000113569",5,37288137,37371106,"NUP155",0.262745009427611,0.64069001147157,0.00864576675185619,0.28096
"88","ENSG00000005483",7,105014190,105115019,"KMT2E",0.191641769277958,0.341985388513852,0.386773407587887,0.14663
"89","ENSG00000151623",4,148078762,148444698,"NR3C2",0.000128104734118932,0.000849051975553059,0.0578396942444061,0.11863
"90","ENSG00000160877",19,13116862,13141147,"NACC1",0.356277089821615,0.486960084461307,0.149577156721715,NA
"91","ENSG00000112655",6,43076307,43161719,"PTK7",0.337397213878101,0.381594223231033,1,0.36658
"92","ENSG00000108819",17,50133737,50150677,"PPP1R9B",1,1,1,NA
"93","ENSG00000145864",5,161288429,161549044,"GABRB2",0.215909577815983,0.34330575066639,0.149577156721715,0.37533
"94","ENSG00000115677",2,241227264,241317061,"HDLBP",0.0844694181894543,0.0498774161105013,0.386773407587887,0.61863
"95","ENSG00000160551",17,29390363,29551903,"TAOK1",0.134615887554564,0.0849185579629554,1,0.61863
"96","ENSG00000159459",15,42942897,43106113,"UBR1",0.00380030542803275,0.0535612160982794,0.00129178158709931,0.17255
"97","ENSG00000120156",9,27109141,27230174,"TEK",0.303867536550568,0.499195696759865,0.0578396942444061,1
"98","ENSG00000156113",10,76869601,77638369,"KCNMA1",1,1,1,NA
"99","ENSG00000102879",16,30182827,30189076,"CORO1A",0.66376875497242,0.66376875497242,1,1
"100","ENSG00000173064",12,112160188,112382439,"HECTD4",0.203960729634092,0.400144228036815,0.0351640673497326,1
"101","ENSG00000084676",2,24491254,24770702,"NCOA1",0.0316827623752819,0.109228791720766,0.149577156721715,0.11863
"102","ENSG00000160305",21,46458891,46570015,"DIP2A",0.580842840563388,0.672181832782917,1,0.32485
"103","ENSG00000141646",18,51028394,51085045,"SMAD4",0.370558013741348,0.370558013741348,1,1
"104","ENSG00000198218",3,49029707,49094363,"QRICH1",0.00762232204238065,0.0167912740568386,0.149577156721715,0.24144
"105","ENSG00000170921",17,63009556,63427699,"TANC2",0.367147406157128,0.499195696759865,0.149577156721715,NA
"106","ENSG00000154928",3,134795260,135260467,"EPHB1",0.999999742396965,1,1,0.6252
"107","ENSG00000108001",10,129835233,129973053,"EBF3",0.331882330711822,0.359132383351749,0.386773407587887,NA
"108","ENSG00000196712",17,31094927,31382116,"NF1",0.605013966261345,0.596573316322527,0.56362363483341,0.50833
"109","ENSG00000138411",2,196189099,196593684,"HECW2",0.7539186604101,0.781199814223,0.525607498267655,0.50013
"110","ENSG00000166477",15,51938025,51971778,"LEO1",0.654090428939608,0.749176419606265,0.149577156721715,0.61863
"111","ENSG00000149571",11,126423358,127003460,"KIRREL3",0.618593291326335,0.749849101227973,1,0.24144
"112","ENSG00000163625",4,84669597,84966690,"WDFY3",0.34133037658116,0.601665204945601,0.0223634467441294,1
"113","ENSG00000178175",5,72439903,72507410,"ZNF366",0.0142833380165222,0.0133372548828389,0.386773407587887,1
"114","ENSG00000128594",7,128027071,128032107,"LRRC4",0.0399129304473723,0.0269898192678957,0.386773407587887,0.49138
"115","ENSG00000112739",6,4021267,4064983,"PRPF4B",1,1,1,1
"116","ENSG00000038382",5,14143342,14532128,"TRIO",8.64766615518049e-07,1.96118931447178e-05,0.0223634467441294,0.058286
"117","ENSG00000186472",7,82754012,83162930,"PCLO",2.0095241128472e-06,2.0730236394202e-05,0.0223634467441294,0.11878
"118","ENSG00000100150",22,31753867,31908033,"DEPDC5",0.388406465415208,0.820042607626317,0.0223634467441294,0.1252
"119","ENSG00000061676",2,182909115,183038858,"NCKAP1",1,1,1,NA
"120","ENSG00000168256",17,42011382,42025644,"NKIRAS2",0.653486399287297,0.697188376621878,0.386773407587887,1
"121","ENSG00000138802",4,109433772,109540896,"SEC24B",0.51823158159934,0.769838810262985,0.0223634467441294,1
"122","ENSG00000015171",10,134465,254637,"ZMYND11",0.00485879361992064,0.00416290194219228,0.149577156721715,0.49138
"123","ENSG00000151090",3,24117153,24495756,"THRB",0.450477964626488,0.486960084461307,0.386773407587887,NA
"124","ENSG00000138650",4,133149294,133208606,"PCDH10",0.149577156721715,1,0.149577156721715,NA
"125","ENSG00000100722",14,88562970,88627596,"ZC3H14",0.355621148224782,0.599476686567791,0.149577156721715,0.2502
"126","ENSG00000100330",22,29883169,30030868,"MTMR3",0.400253318511655,0.66376875497242,0.0223634467441294,1
"127","ENSG00000134186",1,108692310,108702928,"PRPF38B",0.113681916719961,0.317156081834901,0.149577156721715,0.11863
"128","ENSG00000143776",1,226989865,227318502,"CDC42BPA",0.365450416744149,0.64069001147157,0.0578396942444061,0.32485
"129","ENSG00000164134",4,139301505,139420033,"NAA15",0.482931273192158,0.428654102680588,0.386773407587887,0.68228
"130","ENSG00000173276",21,41986831,42010387,"ZBTB21",0.999999999978574,1,0.0223634467441294,0.61863
"131","ENSG00000108582",17,30378927,30469989,"CPD",0.999999999954687,1,0.3814988955957,0.11863
